STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA MILAS_2 DERINCE BARAJI&#40;KRET-CREST&#41;
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4822
STATION COORDINATES     : 37.44170N-27.64600E
STATION ALTITUDE (m)    : 128
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101468
RECORD TIME             : 20/07/2017 22:30:59.000000 (GMT)
NUMBER OF DATA          : 15142
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 76.656958 (E-W) 76.914496 (U-D) 61.345265
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.004158     -0.166321    -0.004158
   -0.001819     -0.166061    -0.008576
   -0.000520     -0.167101    -0.007017
    0.000260     -0.166321    -0.000780
    0.002859     -0.162683     0.006237
    0.006497     -0.166841     0.005457
    0.006757     -0.172818     0.006497
    0.008056     -0.172039     0.007277
    0.011694     -0.166581     0.011954
    0.011954     -0.164242     0.010915
    0.007277     -0.163723    -0.007277
   -0.001819     -0.159045    -0.016892
   -0.006237     -0.162163    -0.012474
   -0.003898     -0.169440    -0.011694
   -0.001559     -0.166321    -0.016632
   -0.003378     -0.161643    -0.012734
   -0.004418     -0.162163     0.004938
    0.001299     -0.161903     0.020530
    0.003119     -0.163203     0.025208
    0.000260     -0.165022     0.017152
   -0.002859     -0.163982    -0.001040
   -0.004678     -0.165282    -0.010135
    0.000520     -0.174637    -0.009875
    0.010395     -0.186072    -0.010135
    0.015593     -0.186852    -0.012474
    0.011435     -0.179055    -0.012474
    0.003119     -0.168660    -0.005717
   -0.003378     -0.159824     0.000260
   -0.002859     -0.157226     0.008056
   -0.002079     -0.159045     0.010915
   -0.004158     -0.159564     0.004158
    0.001299     -0.159564    -0.003638
    0.002859     -0.171779    -0.008316
   -0.005717     -0.192309    -0.005977
   -0.009356     -0.196207    -0.004418
   -0.004938     -0.187631    -0.002859
   -0.000260     -0.180874    -0.007277
    0.000780     -0.176976    -0.009615
    0.000780     -0.172818     0.006757
    0.002599     -0.162163     0.018451
    0.002339     -0.155406     0.016372
    0.002079     -0.157485     0.011435
    0.007017     -0.156446     0.003378
    0.011954     -0.162683    -0.008056
    0.015073     -0.175937    -0.016372
    0.017412     -0.180095    -0.020790
    0.013254     -0.177496    -0.018191
    0.003378     -0.170999    -0.003898
   -0.002339     -0.167881     0.002079
    0.000780     -0.168400    -0.006497
    0.002599     -0.161124    -0.012994
    0.003638     -0.152548    -0.001040
    0.007277     -0.150729     0.014293
    0.005457     -0.153847     0.014033
   -0.000520     -0.160864     0.013773
   -0.004418     -0.163463     0.009356
   -0.007017     -0.156966     0.005457
   -0.005717     -0.151508     0.002339
   -0.003898     -0.156706    -0.008056
   -0.005198     -0.170999    -0.009615
   -0.007796     -0.182434    -0.015852
   -0.014553     -0.181394    -0.024688
   -0.023129     -0.174897    -0.016372
   -0.023129     -0.175157    -0.005717
   -0.010395     -0.180355     0.005457
    0.005457     -0.185292     0.013773
    0.020270     -0.188151     0.012734
    0.025988     -0.182953     0.006757
    0.016632     -0.177496    -0.003378
    0.004158     -0.175157    -0.001559
   -0.002859     -0.164762     0.012474
   -0.002859     -0.157745     0.015333
    0.003119     -0.162683     0.009096
    0.012734     -0.167881     0.001040
    0.017932     -0.168140    -0.011175
    0.015073     -0.168140    -0.026248
    0.008056     -0.172558    -0.039501
   -0.001299     -0.174118    -0.042360
   -0.009096     -0.173858    -0.029366
   -0.012994     -0.176456    -0.004938
   -0.014033     -0.174377     0.017152
   -0.011954     -0.166061     0.025208
   -0.004938     -0.162163     0.024428
    0.010915     -0.169700     0.025728
    0.032225     -0.175937     0.026248
    0.042880     -0.174897     0.011954
