STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA YERKESIK ORMAN ISLETME
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4808
STATION COORDINATES     : 37.13920N-28.28725E
STATION ALTITUDE (m)    : 661
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101129
RECORD TIME             : 20/07/2017 22:30:58.000000 (GMT)
NUMBER OF DATA          : 15270
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 27.024869 (E-W) 16.344964 (U-D) 9.975898
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.022349      0.014033     0.000260
   -0.013773     -0.004158    -0.003119
    0.016112     -0.000520    -0.004418
   -0.019491      0.000260     0.005457
    0.002339     -0.006237    -0.007017
    0.000520      0.014033     0.005457
   -0.002599     -0.000260    -0.006497
    0.019231      0.010135     0.002079
   -0.020011     -0.008576     0.004418
    0.016892     -0.007796     0.001819
   -0.016112     -0.006757     0.003378
    0.010915     -0.003638    -0.004938
   -0.001819      0.014033     0.003898
   -0.004158      0.000780    -0.006237
    0.011694      0.006497     0.005457
   -0.017932     -0.009356    -0.006757
    0.017152     -0.001299    -0.012214
   -0.015073     -0.000260    -0.000260
    0.017152      0.001819    -0.001559
   -0.002859      0.005977     0.004418
    0.001040     -0.004678    -0.008836
    0.008056      0.003898    -0.001040
   -0.013254     -0.010395    -0.007536
    0.017412      0.001559     0.002339
   -0.020530     -0.004418     0.012734
    0.011435      0.001299    -0.000520
   -0.010135      0.009096    -0.000780
    0.008056      0.003378    -0.005198
    0.006497      0.010655     0.002079
   -0.013254     -0.012474    -0.002339
    0.012474     -0.002339     0.005198
   -0.021050     -0.005717    -0.001040
    0.017412      0.004418    -0.005198
   -0.009356      0.006237     0.000780
    0.014553      0.000520    -0.003638
    0.002859      0.006757     0.005457
   -0.008576     -0.012994    -0.002599
    0.012214     -0.001559     0.005198
   -0.017672     -0.008316    -0.009096
    0.021310      0.007536    -0.007277
   -0.014553      0.007796     0.002339
    0.010135      0.001299    -0.008316
   -0.010395      0.004158     0.010135
   -0.006757     -0.005977     0.000260
    0.013254      0.008316     0.000000
   -0.009615     -0.003638    -0.003119
    0.024169      0.002599    -0.000260
   -0.015852     -0.004678     0.004418
    0.015333     -0.001040    -0.004158
   -0.009615      0.004158    -0.001299
   -0.003378     -0.004158    -0.010395
    0.003378      0.004418     0.003119
   -0.013773     -0.010135    -0.000780
    0.018451      0.002079     0.000780
   -0.017672     -0.004418    -0.002859
    0.012734      0.005198    -0.005198
   -0.012994      0.008836     0.003638
    0.010915      0.000780    -0.003378
    0.007796      0.007796     0.009615
   -0.007017     -0.008576    -0.007796
    0.013514      0.006497    -0.002599
   -0.021570     -0.001040    -0.003119
    0.015073      0.005977    -0.007277
   -0.016892     -0.001819     0.003119
    0.011175     -0.009096    -0.006237
   -0.002339     -0.000780     0.003378
   -0.006497     -0.009615    -0.001299
    0.013514      0.010135     0.005457
   -0.015852     -0.001299    -0.009356
    0.020011      0.004678    -0.006497
   -0.016632     -0.006237     0.004678
    0.013254     -0.008836    -0.007796
   -0.004938      0.005717    -0.002339
    0.000000      0.000780    -0.010655
    0.010135      0.012734     0.005717
   -0.015593     -0.005457     0.001299
    0.015333     -0.000520     0.004678
   -0.018451     -0.004678     0.000780
    0.016632     -0.002339    -0.016892
   -0.006757      0.002599    -0.007017
    0.006237     -0.006237    -0.006497
    0.005977      0.003378     0.009096
   -0.012474     -0.004938     0.000260
    0.018711      0.011694    -0.001299
   -0.015073      0.001299    -0.007536
    0.020270      0.003378    -0.008576
   -0.014033      0.000000     0.002599
    0.003378     -0.009356    -0.008056
    0.000000     -0.004418    -0.002339
   -0.008836     -0.013773    -0.007536
    0.014813      0.011175     0.003638
   -0.016372     -0.001559     0.004938
    0.019491      0.007017     0.003638
   -0.012474      0.001040    -0.000260
    0.015073     -0.002339    -0.005717
   -0.001299      0.007796    -0.000520
   -0.002859     -0.012474    -0.014293
    0.004158      0.004158     0.008836
   -0.021310     -0.008576     0.004678
    0.020011      0.005198     0.003638
   -0.011694      0.001299     0.000000
    0.023389     -0.001299    -0.015593
   -0.007277      0.008056     0.003378
   -0.003898     -0.007277    -0.004158
   -0.001040      0.006497     0.005977
   -0.018451     -0.006237     0.001559
    0.023909      0.003119     0.001040
   -0.008836     -0.001040    -0.000520
    0.024948      0.001559    -0.005717
   -0.011435      0.004938     0.000780
   -0.003119      0.000260    -0.010395
   -0.005717      0.008316     0.002599
   -0.016632     -0.012214    -0.004418
    0.019231     -0.002079     0.002859
   -0.012994     -0.009615    -0.002339
    0.025468     -0.000520    -0.006237
   -0.008056      0.006497     0.000520
    0.004938      0.001559    -0.007796
   -0.005457      0.006757     0.007536
   -0.014033     -0.008576    -0.005457
    0.012214      0.001559     0.005198
   -0.015593     -0.004678     0.003378
    0.022090      0.006757    -0.002599
   -0.009356      0.007277     0.001299
    0.016112      0.004418    -0.012994
   -0.000260      0.005457    -0.003898
   -0.006757     -0.011435    -0.003378
    0.003898     -0.001040     0.005717
   -0.021050     -0.008576    -0.002079
    0.019231      0.005457     0.000000
   -0.013514     -0.001559     0.000260
    0.015852      0.000520    -0.000260
   -0.009096      0.002079     0.009356
   -0.000520     -0.007796    -0.003898
    0.007277      0.007277     0.006757
   -0.011954     -0.006497    -0.003378
    0.015593      0.009356    -0.003378
   -0.024948     -0.000780    -0.003898
    0.010915      0.003378    -0.001299
   -0.014293      0.000780     0.009615
    0.009875     -0.006237    -0.004938
    0.011954      0.008836     0.001299
    0.001040     -0.001819    -0.005198
    0.016892      0.016372     0.008576
   -0.023389     -0.002339     0.006757
    0.011435      0.000260     0.002079
   -0.017672     -0.007536     0.004158
    0.013514     -0.012214    -0.006757
   -0.000780      0.003119     0.002079
   -0.009875     -0.002859    -0.007536
    0.003898      0.015333     0.006497
   -0.020270     -0.001559    -0.001299
    0.019751      0.008056     0.000780
   -0.009096     -0.001819     0.004418
    0.021570     -0.002079    -0.004418
   -0.001040      0.006497     0.008836
   -0.001559     -0.001299    -0.003378
    0.002599      0.012994     0.005198
   -0.015073     -0.007017    -0.003638
    0.018971      0.001819     0.002339
   -0.015852     -0.009615     0.003638
    0.016112     -0.004678    -0.004678
   -0.010655      0.004678     0.005977
    0.001559      0.000000    -0.003378
    0.007536      0.011694     0.000780
   -0.008836     -0.004158    -0.009356
    0.014813      0.003378     0.003898
   -0.020530     -0.009615     0.000520
    0.012214     -0.001559    -0.007277
   -0.013773      0.001819     0.000260
    0.007796      0.001040    -0.005977
    0.003378      0.010655     0.004678
   -0.006757     -0.007277    -0.004158
    0.016892      0.004938     0.003638
   -0.015593     -0.005717    -0.002339
    0.018451      0.004678    -0.002599
   -0.013773      0.002339    -0.002339
    0.009096     -0.003119    -0.007536
   -0.007017      0.003119     0.004158
   -0.010135     -0.010135    -0.015073
    0.011694      0.004158     0.001819
   -0.011694     -0.004938    -0.000520
    0.024169      0.015852    -0.007277
   -0.016112      0.008056     0.009356
    0.012214     -0.004418    -0.001559
   -0.012734     -0.000780    -0.003898
   -0.006497     -0.015593    -0.003378
    0.009875      0.005717     0.001559
   -0.009356      0.001040    -0.005717
    0.024169      0.009096     0.003638
   -0.017152      0.002599    -0.001559
    0.015073      0.004158    -0.009096
   -0.014553      0.003119     0.002599
    0.000520     -0.012994    -0.005717
    0.001299     -0.005717     0.000780
   -0.012214     -0.015333    -0.004678
    0.022349      0.004678    -0.004158
   -0.016372      0.007017    -0.010135
    0.016372      0.014033    -0.003638
   -0.019491      0.004418     0.004938
    0.001299     -0.010915    -0.003119
    0.002079     -0.004678     0.003898
   -0.000260     -0.004938    -0.002859
    0.022869      0.014033    -0.001299
   -0.014813      0.007796    -0.013514
    0.013254      0.012214     0.004938
   -0.020530     -0.006757     0.011694
    0.006757     -0.013514    -0.001559
   -0.004158     -0.005717     0.002859
   -0.000780     -0.004938    -0.012214
    0.013254      0.014293     0.003378
   -0.016892      0.000780     0.001559
    0.011435      0.003638     0.002599
   -0.018191     -0.007277    -0.000520
    0.017412     -0.001559    -0.003378
   -0.000260      0.005198     0.007277
    0.004158     -0.002339    -0.005977
    0.001559      0.007536     0.006497
   -0.020530     -0.005977     0.000780
    0.012214      0.005977     0.001040
   -0.017932     -0.010135     0.000000
    0.018711     -0.008056    -0.002599
   -0.009875     -0.000520     0.004678
    0.005198     -0.002079    -0.005198
    0.000780      0.013514     0.003378
   -0.013514     -0.002599    -0.003898
    0.014553      0.003378     0.001040
   -0.018191     -0.010395    -0.000260
    0.022869     -0.001819    -0.003638
   -0.012214      0.003119     0.002079
    0.009875      0.002859    -0.002339
    0.001040      0.011435     0.002859
   -0.005198     -0.004678    -0.008316
    0.015852      0.001559    -0.002339
   -0.018711     -0.012214    -0.002339
    0.012474      0.000780     0.007277
   -0.024169     -0.000520     0.006757
    0.011175     -0.001299    -0.008056
    0.002079      0.008316     0.000520
    0.006497      0.000780    -0.008576
    0.015073      0.008316    -0.001040
   -0.016892     -0.008056    -0.002339
    0.010655      0.003638     0.003378
   -0.022609     -0.006237    -0.002339
    0.015073      0.000000    -0.000520
   -0.004938      0.004418     0.009096
    0.006757     -0.003378    -0.012214
    0.004678      0.008576     0.002079
   -0.016112     -0.011435    -0.009096
    0.010655      0.003378    -0.005977
   -0.019231     -0.008836    -0.003898
    0.022349      0.001819    -0.007277
   -0.007017      0.005198     0.007277
    0.008836     -0.004938    -0.003378
   -0.003378      0.007277     0.007536
   -0.012214     -0.009356    -0.001819
    0.013254      0.004158     0.001559
   -0.015852     -0.003898    -0.000520
    0.022090      0.004678    -0.001819
   -0.013514      0.006757     0.003898
    0.012214      0.002339    -0.005977
   -0.003898      0.005457     0.008056
   -0.012734     -0.011435    -0.002599
    0.006497     -0.002599     0.005198
   -0.016112     -0.008836     0.004678
    0.021830      0.004158    -0.001819
   -0.014293      0.003898    -0.001299
    0.013773      0.005717    -0.001819
   -0.002599      0.005717     0.007796
    0.001299     -0.007796    -0.003378
    0.009875     -0.001299     0.003638
   -0.019751     -0.012214    -0.002339
    0.007536      0.003898     0.002079
   -0.024688     -0.003898    -0.003898
    0.012214      0.000520    -0.006237
   -0.010135      0.000260     0.007277
    0.007277     -0.009356    -0.005457
    0.011694      0.003898     0.004158
   -0.008576     -0.008316    -0.003378
    0.011954      0.007796     0.002599
   -0.024169     -0.003378    -0.000780
    0.014033      0.000780    -0.008576
   -0.016892      0.002599     0.004158
    0.006497     -0.003898    -0.002599
   -0.001040      0.007277     0.002079
   -0.004158     -0.004158    -0.001299
    0.021830      0.011694     0.002339
   -0.014293     -0.002599    -0.007277
    0.019491     -0.001040    -0.001559
   -0.022609      0.000000     0.004678
    0.004678     -0.004938    -0.003378
   -0.006497      0.006757     0.010915
   -0.003119     -0.003898     0.000780
    0.017672      0.002599     0.001559
   -0.013514     -0.005457     0.000520
    0.017152      0.001819     0.000520
   -0.027807     -0.000520    -0.005717
    0.004678      0.001040    -0.008836
   -0.010395      0.001819     0.004678
    0.000780     -0.004938     0.002859
    0.019231      0.006497     0.010135
   -0.002599      0.001559     0.000260
    0.023389      0.012474     0.003378
   -0.018451     -0.006237     0.000000
    0.005198     -0.002079     0.000000
   -0.022349     -0.006237     0.003638
   -0.002339     -0.011175    -0.006497
    0.003638      0.004418     0.002859
   -0.004418     -0.003898    -0.005198
    0.019751      0.015333     0.004938
   -0.013773     -0.003638    -0.000520
    0.018191     -0.000260    -0.001819
   -0.015333     -0.006497    -0.000520
    0.005457     -0.006757    -0.014293
   -0.006237      0.009096    -0.001819
   -0.006757     -0.006497    -0.004418
    0.010135      0.010915     0.004938
   -0.013773     -0.006757    -0.000520
    0.022869      0.005198     0.001559
   -0.015593      0.003638    -0.001819
    0.016372     -0.002079    -0.011435
   -0.009356      0.008576    -0.001819
   -0.009875     -0.012474    -0.009356
    0.003898      0.000520     0.005717
   -0.018711     -0.005198    -0.002599
    0.023649      0.007017     0.002079
   -0.009875      0.007796     0.001559
    0.025208      0.006757    -0.007017
   -0.003898      0.006237     0.004418
   -0.001559     -0.010655    -0.005717
    0.001299     -0.006497     0.002339
   -0.023389     -0.013773    -0.010395
    0.012734      0.001559    -0.002339
   -0.018451     -0.002339     0.000260
    0.019231      0.007796    -0.005457
   -0.007536      0.006757     0.008576
    0.003898      0.000000    -0.003898
    0.000780      0.004938     0.001559
   -0.012214     -0.010915    -0.003638
    0.014293      0.007536     0.000520
