STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA OREN BELEDIYE
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4819
STATION COORDINATES     : 37.03130N-27.97120E
STATION ALTITUDE (m)    : 10
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101913
RECORD TIME             : 20/07/2017 22:30:59.000000 (GMT)
NUMBER OF DATA          : 9036
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 78.7235 (E-W) 87.939778 (U-D) 45.10789
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.017412      0.013773    -0.014813
    0.005198      0.020011    -0.015852
    0.011954      0.039761    -0.015073
    0.000520      0.033264     0.001299
   -0.015593      0.058992    -0.003119
   -0.024428      0.021050     0.002859
   -0.047298      0.023649    -0.005198
   -0.036383     -0.011435    -0.005717
   -0.054054     -0.018971    -0.003119
   -0.026507     -0.002079     0.007536
   -0.014813      0.010915     0.024169
   -0.009096      0.024428     0.024428
   -0.002599      0.000520     0.022349
   -0.014553      0.025468    -0.003638
   -0.014033      0.003898    -0.013514
   -0.034824      0.022349    -0.027547
    0.004678      0.009356    -0.018971
    0.027807     -0.003898     0.001819
    0.043399      0.007017     0.006497
    0.036123     -0.018711     0.018971
    0.023389      0.018451     0.001040
    0.026248      0.013514    -0.001819
   -0.002859      0.034044    -0.005198
   -0.004938      0.021310    -0.002339
   -0.043659      0.004678     0.003898
   -0.037162      0.002339    -0.002339
   -0.034564     -0.014293     0.001040
   -0.039761      0.007277    -0.004158
   -0.024948     -0.003638     0.003898
   -0.036383      0.017932     0.002079
   -0.007536      0.006757     0.000260
   -0.020790      0.014553    -0.008056
   -0.015073      0.004158    -0.012734
   -0.012214     -0.004678    -0.009096
   -0.009356      0.016632    -0.008056
   -0.007536      0.003898     0.004938
   -0.019751      0.032485     0.003119
   -0.004158      0.008576     0.012994
   -0.027807      0.014293     0.011694
   -0.015593      0.013514     0.010915
   -0.009875      0.009356     0.012734
    0.008576      0.021570    -0.004938
    0.011435     -0.008056    -0.006237
   -0.008576     -0.006757    -0.012214
   -0.004158     -0.024948    -0.010135
   -0.017412     -0.005717    -0.007536
    0.007536     -0.003119    -0.006237
   -0.014293      0.020270    -0.000780
   -0.007536      0.042880     0.007017
    0.001040      0.031705     0.020270
   -0.011435      0.034304     0.023909
    0.004938     -0.003119     0.023389
   -0.010655      0.012474    -0.002079
    0.005198      0.004678    -0.022869
   -0.015333      0.029886    -0.033004
   -0.019751      0.031185    -0.021830
   -0.026767      0.016892    -0.003898
   -0.025468      0.041840    -0.002339
    0.003378      0.012214     0.002859
   -0.007796      0.035343    -0.006497
   -0.010135      0.009615     0.008836
   -0.043919      0.007277     0.017152
   -0.037942     -0.008836     0.020270
   -0.034304     -0.026248     0.026248
   -0.021570     -0.005457     0.021570
    0.008056     -0.022090     0.024948
    0.022349      0.019231     0.001559
    0.038722      0.000260    -0.013773
    0.000520      0.019231    -0.030665
   -0.009615      0.023129    -0.030925
   -0.033004      0.015333    -0.021830
   -0.032225      0.034824    -0.018191
   -0.029886      0.002339     0.001819
   -0.023909      0.010395     0.000000
    0.012994     -0.024428     0.007017
    0.000780     -0.013773     0.006757
    0.010655      0.001559     0.010135
   -0.007017      0.022869     0.014293
    0.008576      0.044179     0.005457
