STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA SELIMIYE ORMAN ISLETME SEF.
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4814
STATION COORDINATES     : 37.39910N-27.65670E
STATION ALTITUDE (m)    : 63
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101902
RECORD TIME             : 20/07/2017 22:30:59.000000 (GMT)
NUMBER OF DATA          : 13808
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 21.625145 (E-W) 24.431816 (U-D) 14.073639
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.012994     -0.021830     0.009356
    0.000520     -0.018711    -0.027027
   -0.013514      0.018191     0.004678
    0.005198      0.001299    -0.001559
   -0.009875      0.010135     0.000000
    0.012734     -0.001559     0.016892
   -0.015333      0.014293    -0.009356
   -0.028846      0.035083     0.006237
    0.020270      0.009356    -0.002599
   -0.006757      0.044179     0.001819
   -0.008576      0.026507     0.013773
   -0.002859     -0.021570    -0.011175
   -0.011175      0.009615     0.014033
   -0.000520     -0.012994     0.005977
   -0.014813     -0.008316    -0.001040
    0.001299      0.030925     0.015073
    0.005198      0.015593    -0.010395
   -0.012734      0.034044     0.011954
    0.008316      0.014813     0.001559
   -0.007796      0.005977    -0.016112
   -0.009875      0.016632     0.017412
    0.017412     -0.011435    -0.000260
   -0.013773      0.025468     0.010135
   -0.011694      0.012474     0.006757
   -0.011954      0.003898    -0.004418
   -0.006757      0.025208     0.023649
    0.010135     -0.008056    -0.003378
   -0.025468      0.022609     0.002079
   -0.001299      0.005198     0.002339
   -0.005198     -0.017412    -0.018191
   -0.004938      0.003119     0.015593
    0.022869     -0.022609     0.000780
   -0.019491      0.000260    -0.002859
   -0.002859      0.012214     0.011435
   -0.000780      0.027807    -0.004418
   -0.001040      0.028067     0.005717
    0.025208     -0.034304    -0.006757
   -0.005457     -0.017932     0.000000
   -0.005457      0.001040     0.004938
   -0.012734     -0.003378    -0.007277
   -0.002599      0.026507     0.018191
    0.024688     -0.014293    -0.008056
    0.005717     -0.015593     0.005457
    0.004938      0.037942     0.020790
   -0.000520      0.021050    -0.017412
   -0.007796      0.002599     0.014813
   -0.009356     -0.018711    -0.007277
   -0.021050     -0.002339    -0.010915
   -0.010395      0.010395     0.016632
    0.008056     -0.004158    -0.013254
    0.010395      0.007796     0.010135
    0.022869     -0.032745    -0.002079
    0.025988     -0.012994    -0.001559
    0.004678      0.014033     0.021830
   -0.016372     -0.004938    -0.017932
   -0.036123      0.026248    -0.003378
   -0.011694     -0.007017     0.003898
   -0.007796     -0.014813    -0.003378
   -0.005717      0.002599     0.011954
    0.021570     -0.012734    -0.009875
    0.003378      0.015593     0.012474
    0.030665      0.003119     0.016372
    0.017932      0.014553    -0.015333
   -0.019491      0.033524     0.010395
   -0.005717     -0.011435    -0.002339
   -0.038462     -0.012734     0.005198
    0.004678     -0.024688     0.011175
