STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA BODRUM METEOROLOJI MUDURLUGU
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4809
STATION COORDINATES     : 37.03304N-27.43997E
STATION ALTITUDE (m)    : 25
RECORDER TYPE           : Guralp cmg5td
RECORDER SERIAL NO      : T5J71/A1167
RECORD TIME             : 20/07/2017 22:31:07.000000 (GMT)
NUMBER OF DATA          : 4094
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 158.762353 (E-W) 102.007881 (U-D) 88.038613
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.009849     -0.036433     0.010588
    0.011163     -0.036189     0.010372
    0.009848     -0.036392     0.010572
    0.011154     -0.036150     0.010365
    0.009848     -0.036352     0.010557
    0.011145     -0.036111     0.010359
    0.009847     -0.036313     0.010541
    0.011136     -0.036071     0.010353
    0.009847     -0.036273     0.010524
    0.011127     -0.036031     0.010348
    0.009847     -0.036234     0.010507
    0.011118     -0.035991     0.010343
    0.009847     -0.036195     0.010490
    0.011108     -0.035951     0.010339
    0.009847     -0.036156     0.010471
    0.011099     -0.035910     0.010336
    0.009847     -0.036118     0.010452
    0.011089     -0.035868     0.010334
    0.009847     -0.036081     0.010430
    0.011079     -0.035825     0.010334
    0.009848     -0.036046     0.010408
    0.011069     -0.035781     0.010336
    0.009849     -0.036012     0.010382
    0.011058     -0.035735     0.010340
    0.009851     -0.035980     0.010354
    0.011046     -0.035685     0.010349
    0.009855     -0.035953     0.010320
    0.011032     -0.035631     0.010364
    0.009860     -0.035931     0.010280
    0.011016     -0.035569     0.010387
    0.009868     -0.035920     0.010227
    0.010996     -0.035495     0.010427
    0.009882     -0.035925     0.010154
    0.010968     -0.035397     0.010494
    0.009908     -0.035963     0.010040
    0.010923     -0.035254     0.010623
    0.009959     -0.036066     0.009828
    0.010838     -0.035011     0.010925
    0.010078     -0.036331     0.009272
    0.010628     -0.034495     0.012097
    0.010456     -0.037106     0.001709
    0.009749     -0.032879     0.011351
    0.015724     -0.041106     0.010579
    0.004581     -0.002441     0.005734
   -0.000186     -0.016180     0.012622
    0.010319     -0.026770    -0.000234
   -0.004814      0.000983     0.012290
    0.010677     -0.039351     0.004133
   -0.001156      0.004573     0.009172
    0.008208     -0.023013     0.011867
    0.006529     -0.017480     0.005935
    0.001546     -0.010107     0.015762
    0.005561     -0.019594     0.001258
   -0.002033     -0.000757     0.014232
    0.011861     -0.030672     0.006056
    0.001721     -0.005030     0.010711
    0.005486     -0.013195     0.009511
   -0.001282     -0.014520     0.004235
    0.002808     -0.009894     0.017244
    0.009379     -0.020546     0.001355
    0.000174      0.000191     0.014355
    0.012398     -0.029749     0.006165
   -0.001007     -0.007516     0.006197
    0.006527     -0.017397     0.009463
    0.005704     -0.020008     0.004983
    0.003159     -0.004190     0.011909
