STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA BOZBURUN ILKOGRETIM OKULU
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4815
STATION COORDINATES     : 36.68860N-28.04600E
STATION ALTITUDE (m)    : 10
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101909
RECORD TIME             : 20/07/2017 22:30:59.000000 (GMT)
NUMBER OF DATA          : 15194
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 33.606514 (E-W) 35.893172 (U-D) 24.437534
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.008836     -0.001819     0.001559
    0.004938      0.001299    -0.004938
   -0.001559     -0.008576    -0.001819
    0.008316     -0.003378     0.003898
    0.001559      0.010135    -0.000520
   -0.009356      0.007796     0.000780
   -0.008056      0.001819     0.004418
    0.002859     -0.003898     0.001040
    0.012214     -0.004158     0.000000
    0.002599      0.003378    -0.003378
   -0.009096      0.000780    -0.003898
   -0.001819     -0.003898     0.003378
    0.006497      0.008316    -0.001299
   -0.001299      0.005977    -0.006237
   -0.009096     -0.003378     0.000780
    0.000000     -0.005198     0.004678
    0.008836      0.003119     0.003119
    0.006497      0.010655    -0.000780
   -0.000520     -0.005717    -0.002859
   -0.003638     -0.009875    -0.000260
    0.005198      0.006497    -0.001040
   -0.000780      0.015852    -0.003119
   -0.004158     -0.008056    -0.001040
    0.003378     -0.012474     0.004418
   -0.003638      0.005717    -0.007536
   -0.007017      0.005457    -0.000520
    0.001040      0.018971     0.006757
    0.023389     -0.012214    -0.005457
    0.011435     -0.035603    -0.000780
   -0.030146      0.017412    -0.002859
   -0.012994      0.032745     0.015333
    0.022609      0.000780    -0.010135
    0.003898     -0.017152    -0.007536
   -0.013254     -0.001559     0.023129
   -0.000260      0.020270    -0.017672
    0.009615     -0.000780     0.000780
    0.000520     -0.015333     0.011175
   -0.011435     -0.000520    -0.011435
    0.009096      0.007536    -0.004938
    0.009615      0.006497     0.005717
   -0.007017      0.002079     0.002859
   -0.004938     -0.005717    -0.006497
   -0.002079     -0.008836     0.006497
    0.006237      0.004678     0.006497
   -0.002339      0.008836    -0.002339
   -0.004158      0.000780    -0.006237
    0.012214      0.002079    -0.001299
    0.007796      0.008316    -0.001559
   -0.010135      0.000520    -0.008056
   -0.005717     -0.010655     0.002599
    0.007017     -0.001299     0.011175
   -0.000260      0.005198    -0.000520
   -0.003638     -0.002339    -0.007017
    0.005198     -0.003638     0.006497
    0.005198      0.003119     0.001819
   -0.003638      0.002599    -0.005717
   -0.003119      0.000260    -0.000260
    0.006497     -0.004678    -0.004418
    0.003898     -0.000520    -0.002859
   -0.012474      0.010915    -0.001559
   -0.008836     -0.002599    -0.002859
    0.016892     -0.013254     0.006237
    0.012734      0.004678     0.004678
   -0.015593      0.009875    -0.001819
   -0.009615     -0.003638    -0.000780
    0.006757     -0.004938    -0.001819
    0.000260     -0.002339    -0.003898
   -0.006237      0.004418    -0.007017
   -0.002079      0.007536     0.001299
    0.007536     -0.001559     0.011694
    0.006757      0.000780     0.003638
    0.001299      0.003898    -0.002079
    0.004678     -0.004418    -0.001819
    0.003119     -0.009356    -0.005717
   -0.011175      0.001040    -0.004678
   -0.012474      0.006757    -0.001819
    0.008316      0.000260     0.003898
    0.007017      0.001559     0.000780
   -0.006237      0.001299     0.002599
    0.004678     -0.001040     0.006497
    0.016112     -0.008576    -0.001819
    0.002339     -0.002339     0.004678
   -0.014813      0.009356    -0.011954
   -0.006757      0.011435     0.001299
    0.015073      0.000780     0.004938
    0.009096     -0.007277    -0.000260
   -0.015073      0.025988     0.009356
    0.007017     -0.021570    -0.023129
    0.009875     -0.057173     0.018971
   -0.032225      0.060291    -0.002599
    0.004418      0.038202    -0.004678
    0.051196     -0.081342    -0.007796
   -0.004158     -0.014293    -0.025728
   -0.022349      0.057173     0.070687
    0.000520      0.035603    -0.037422
   -0.003378     -0.014033    -0.025208
    0.007017     -0.055354     0.059512
   -0.014813      0.003898    -0.049377
    0.007536      0.040801    -0.003119
    0.017152     -0.003378     0.032485
   -0.011435     -0.018191    -0.014293
    0.007277      0.000260    -0.009096
   -0.008576      0.000780     0.009875
    0.016892     -0.000520     0.009615
    0.009356      0.000260    -0.000260
   -0.037422     -0.003898    -0.000520
    0.014293      0.007536    -0.007796
    0.014813      0.003378     0.005457
   -0.019231      0.003119     0.000780
   -0.004678      0.009096    -0.006757
    0.001559      0.000260     0.006757
    0.007017     -0.005198    -0.000520
    0.003378     -0.012994    -0.005198
   -0.010395     -0.002339     0.001819
    0.002079      0.008576     0.006237
    0.008836      0.001559    -0.004158
   -0.009356     -0.002079    -0.001559
   -0.007277     -0.006497     0.003638
    0.013514     -0.003638    -0.004158
    0.010915      0.002079    -0.001559
   -0.010655      0.015073     0.002599
    0.001819      0.001559     0.000520
    0.010135     -0.015593    -0.002859
   -0.016112      0.007536     0.010135
   -0.012474     -0.005198    -0.007277
    0.023909     -0.001040    -0.012734
    0.023649      0.017152     0.022090
   -0.029886     -0.002859    -0.001040
   -0.029886     -0.008576    -0.017672
    0.020530     -0.007277     0.008836
    0.020530      0.014813     0.009356
   -0.013254      0.013514    -0.005977
   -0.013514     -0.003898    -0.001819
    0.021050     -0.004678     0.005457
    0.014293     -0.008056    -0.004418
   -0.015073      0.004158    -0.010655
   -0.007277     -0.001819    -0.002339
    0.003378     -0.009356     0.007017
   -0.002339      0.000000     0.000000
   -0.004158      0.010915     0.000780
    0.006237      0.010655    -0.001559
    0.005717     -0.016372    -0.003119
   -0.007277     -0.022869     0.001040
   -0.002859      0.011954    -0.001819
    0.009875      0.023909     0.008836
    0.003378      0.000260    -0.003119
   -0.013254     -0.013773    -0.004678
   -0.005198     -0.005198     0.012474
    0.004938      0.015073     0.000780
   -0.006497      0.009356     0.000260
   -0.001819     -0.004418     0.000780
    0.012994     -0.000260    -0.005977
    0.003638     -0.006757    -0.001819
   -0.014033     -0.009875     0.000260
   -0.004678      0.006497    -0.000260
    0.013514      0.007536     0.000000
    0.004158     -0.009875     0.000260
   -0.016892     -0.006497    -0.000780
   -0.008056      0.004158     0.003638
    0.013514      0.005977     0.004678
    0.002859      0.009875    -0.002859
   -0.005198     -0.003378    -0.000260
    0.012994     -0.010135     0.000520
    0.005457     -0.006237     0.001559
   -0.017412     -0.007277     0.004158
   -0.003898      0.010655    -0.004678
    0.010395      0.013514    -0.003898
   -0.000520     -0.004938     0.004418
   -0.002079     -0.003638    -0.001559
    0.006757      0.010395    -0.004678
    0.008836      0.009875     0.003378
   -0.006237      0.000000    -0.003119
   -0.017412     -0.003638    -0.005457
    0.001299     -0.007796     0.003898
    0.010915     -0.002599     0.000520
   -0.003898     -0.000260    -0.000780
    0.002339      0.001819    -0.002339
    0.018451      0.004678    -0.001819
    0.005198     -0.007536     0.007017
   -0.013514      0.007536     0.001299
   -0.007536      0.014813    -0.001299
    0.006497     -0.006497     0.004418
   -0.001559     -0.008056    -0.002339
   -0.010655     -0.011954    -0.007017
    0.009615     -0.001299    -0.000260
    0.015333      0.018451     0.004678
   -0.007277      0.008316     0.003378
   -0.013254      0.003898    -0.001819
    0.000520     -0.003898    -0.003119
   -0.003119     -0.008316     0.001299
   -0.014033      0.001819     0.000520
    0.013254     -0.002079    -0.000520
    0.030146      0.004158    -0.001040
   -0.001819      0.006497    -0.003638
   -0.018191     -0.004158    -0.003119
   -0.000260     -0.000260    -0.005457
    0.008576     -0.006497     0.002859
   -0.004418     -0.018711     0.009875
   -0.010915      0.007796     0.001299
    0.002339      0.025988     0.001819
    0.008576     -0.000260    -0.000780
   -0.004938     -0.008836    -0.007277
    0.001559      0.003898    -0.001819
    0.016892      0.001819    -0.004678
    0.000520     -0.012474    -0.003119
   -0.002859     -0.007277     0.010655
    0.007536      0.020270     0.001819
   -0.014033      0.008316    -0.005198
   -0.012474     -0.010655     0.010135
    0.014033      0.011175     0.003898
    0.000000      0.005198    -0.007536
   -0.008316     -0.004418    -0.003119
    0.010915      0.000780    -0.003898
    0.012474     -0.016372     0.000000
    0.006497     -0.004418     0.003638
    0.005198      0.016112     0.002599
   -0.005457      0.007536     0.005717
   -0.014813     -0.002859    -0.005198
   -0.008576     -0.009356    -0.010135
   -0.004158     -0.004678     0.004938
    0.006757      0.007277     0.000000
    0.015852      0.009096    -0.004158
    0.002079     -0.005977     0.009356
    0.008056     -0.004678    -0.002599
    0.001299     -0.002859    -0.011694
   -0.020270     -0.011694     0.004678
    0.004418      0.018971    -0.001819
   -0.002599      0.022090     0.000000
   -0.019231      0.002079     0.011694
    0.017152      0.007017    -0.004678
    0.007277     -0.015073     0.005457
   -0.009875     -0.010915     0.007796
    0.007017      0.012214    -0.011954
   -0.010915     -0.009096     0.004158
    0.008576     -0.008316    -0.002079
    0.019491      0.005457    -0.012474
   -0.022609      0.000260     0.006757
   -0.000520      0.018711    -0.001819
    0.002599     -0.003638     0.004678
   -0.004678     -0.020530     0.012214
    0.025468      0.022349    -0.004678
   -0.001559      0.001559     0.004158
   -0.005198     -0.002599    -0.005977
    0.005717      0.006497    -0.010655
   -0.009356     -0.027807    -0.000780
    0.000780     -0.003119    -0.003638
   -0.000780     -0.007017     0.007796
    0.003378      0.011435     0.002079
    0.007796      0.037942     0.010915
    0.003119     -0.003898     0.003378
   -0.010395      0.007536    -0.016372
   -0.015593     -0.028586    -0.001299
    0.008316     -0.013773    -0.005457
    0.006757      0.021570     0.005717
    0.012474     -0.012994     0.005977
   -0.008316      0.022090     0.004158
   -0.023389     -0.015073     0.006497
    0.003898     -0.001559    -0.012474
    0.001559      0.016632     0.005977
    0.018191     -0.005198    -0.000780
    0.007796      0.023129    -0.005457
    0.002339     -0.022869    -0.001040
    0.000000      0.003378    -0.009096
   -0.013514     -0.008316     0.005977
    0.004938     -0.005457    -0.003898
   -0.012214      0.028067     0.002339
    0.001819      0.003898     0.006237
    0.003638      0.018451    -0.005717
    0.002339     -0.021570    -0.001040
    0.001040     -0.006497    -0.002079
   -0.024948     -0.001559     0.001040
   -0.001040     -0.006497    -0.000520
    0.002339      0.015073     0.001299
    0.010395     -0.007796     0.003378
    0.003898      0.001559     0.003898
   -0.005977     -0.008316     0.002079
    0.002859     -0.007017    -0.009615
   -0.007017      0.005717    -0.003638
    0.010135      0.004158     0.003119
    0.010655      0.009356    -0.001559
    0.003378      0.007796     0.000780
    0.007536      0.014293     0.009356
   -0.001040      0.002599     0.006497
    0.005977     -0.029626    -0.011435
    0.007536     -0.010395    -0.001559
   -0.005198      0.011694     0.010395
   -0.009615      0.016372    -0.002079
   -0.016372      0.000780    -0.000260
   -0.008056     -0.038462    -0.005457
   -0.002599     -0.007536     0.002079
    0.001299      0.007277     0.008316
    0.018971      0.023649    -0.004418
    0.016112      0.024169     0.005977
    0.001040     -0.013254    -0.009356
   -0.020270     -0.008836    -0.014813
   -0.007017     -0.016372     0.006497
    0.018971      0.029886    -0.000260
   -0.005977      0.028067     0.001559
   -0.027807     -0.023389    -0.001819
   -0.014813     -0.017412    -0.017412
    0.000000     -0.032485    -0.003378
    0.011435     -0.007796     0.008576
    0.031445      0.031965    -0.001299
    0.008316      0.043140     0.010395
   -0.021050      0.031445     0.019751
   -0.003898     -0.006497    -0.002859
   -0.000520     -0.021050    -0.004418
    0.002079     -0.014813     0.004418
    0.005198     -0.018451    -0.008316
    0.003378     -0.031445    -0.003898
    0.011954     -0.014553     0.005198
    0.006497      0.015593     0.006497
    0.004418      0.022349     0.013773
   -0.007536     -0.001299    -0.008316
   -0.031965     -0.024169    -0.012474
   -0.021050     -0.004678     0.009615
    0.000260      0.021050    -0.010915
   -0.008576      0.006497    -0.018971
   -0.021310     -0.016632    -0.006497
   -0.002859     -0.004678    -0.004418
    0.025468      0.023389     0.011435
    0.025468      0.046778     0.010655
    0.010135      0.035343     0.002599
   -0.004418     -0.006237    -0.003638
   -0.015593     -0.029366    -0.014553
   -0.005977     -0.021310     0.002859
    0.017672      0.003119     0.012994
    0.028067      0.002599    -0.002079
    0.011954     -0.036903    -0.001299
   -0.018711     -0.045219     0.004938
   -0.035083      0.002339    -0.000260
   -0.007017      0.030146     0.010135
    0.024948      0.036903     0.022609
    0.004158      0.027027     0.009875
   -0.025988     -0.014553    -0.004678
   -0.021050     -0.025468    -0.014813
    0.007277     -0.009875    -0.010135
    0.031705      0.004158    -0.004418
    0.027547      0.008056    -0.007536
    0.007017     -0.002599    -0.002339
   -0.021830      0.001299    -0.002339
   -0.042360      0.010395    -0.001819
   -0.021570      0.021570    -0.001040
    0.014553      0.026248     0.001559
    0.033784     -0.002599     0.005977
    0.028067     -0.028067    -0.001559
    0.004678     -0.021050    -0.011175
   -0.000780      0.004158    -0.004418
   -0.005457     -0.008056     0.006757
   -0.016632     -0.025468     0.001559
   -0.014033      0.016112     0.010135
   -0.010395      0.020530     0.019491
    0.007277      0.003119    -0.001040
    0.020011      0.008576    -0.012214
    0.001559     -0.016892    -0.004938
   -0.007796     -0.017152    -0.002079
   -0.007277      0.000520    -0.004418
   -0.022869      0.001040    -0.007796
   -0.033524      0.002079    -0.008316
   -0.021050      0.006757     0.003638
    0.014293      0.021570     0.013254
    0.050156      0.018971     0.004678
    0.046258      0.008316     0.000000
    0.004678     -0.002599     0.001559
   -0.021050     -0.015852    -0.005457
   -0.011435     -0.025728    -0.014293
    0.010135     -0.029626    -0.012474
