STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA MERKEZ TARIM MUDURLUGU
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4801
STATION COORDINATES     : 37.21446N-28.35612E
STATION ALTITUDE (m)    : 638
RECORDER TYPE           : Guralp cmg5td
RECORDER SERIAL NO      : 5C20
RECORD TIME             : 20/07/2017 22:31:14.000000 (GMT)
NUMBER OF DATA          : 13494
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 21.838512 (E-W) 26.042589 (U-D) 9.799439
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.002593      0.000811     0.000757
    0.002597      0.001002     0.000669
    0.002590      0.000805     0.000759
    0.002599      0.001007     0.000667
    0.002586      0.000800     0.000761
    0.002601      0.001012     0.000665
    0.002582      0.000794     0.000764
    0.002604      0.001018     0.000662
    0.002576      0.000787     0.000766
    0.002609      0.001024     0.000660
    0.002570      0.000780     0.000769
    0.002614      0.001031     0.000657
    0.002562      0.000772     0.000771
    0.002622      0.001039     0.000655
    0.002551      0.000763     0.000773
    0.002633      0.001047     0.000653
    0.002536      0.000754     0.000775
    0.002649      0.001056     0.000652
    0.002515      0.000744     0.000775
    0.002674      0.001065     0.000654
    0.002481      0.000735     0.000770
    0.002715      0.001072     0.000663
    0.002425      0.000729     0.000754
    0.002791      0.001075     0.000691
    0.002315      0.000730     0.000707
    0.002954      0.001065     0.000774
    0.002045      0.000756     0.000550
    0.003449      0.001010     0.001104
    0.000900      0.000866    -0.000316
    0.011509      0.000774     0.008360
    0.002660      0.001447     0.003280
   -0.000533     -0.002696    -0.005423
    0.009583      0.005938     0.006485
    0.001540      0.006175     0.000335
    0.008702     -0.000461     0.005475
   -0.002654      0.011698    -0.004876
    0.008390     -0.010847     0.000310
    0.007459      0.003892     0.000179
    0.003491      0.000287     0.003447
    0.009795     -0.001310    -0.000425
    0.005678      0.001476     0.002557
    0.008391      0.005033     0.006449
   -0.001747      0.006561    -0.005306
    0.011802      0.001405     0.006869
    0.006305      0.000016    -0.001809
    0.002145      0.006262     0.003252
    0.000306      0.001567    -0.001973
   -0.001392      0.000968     0.001039
    0.004454      0.008953     0.000511
   -0.000817     -0.000723    -0.003221
    0.005935     -0.002373     0.001595
   -0.001296      0.002159    -0.003330
    0.003431      0.008020     0.001306
    0.001845     -0.002495    -0.004792
    0.008791      0.010705    -0.001130
    0.005741     -0.000062     0.005718
   -0.001308      0.000745    -0.003031
    0.006666     -0.000535     0.002114
    0.010900      0.004003    -0.000481
    0.002743     -0.007329     0.005849
   -0.005534     -0.000819    -0.000225
    0.008393      0.002474     0.001501
    0.003480     -0.007003     0.006800
    0.006300      0.005628    -0.001421
   -0.003208     -0.002856     0.002269
   -0.003426      0.003914    -0.003889
    0.013149      0.002631     0.006805
   -0.009053      0.003318     0.001682
    0.004610      0.002931     0.000206
    0.007227     -0.001521    -0.001023
    0.012630      0.006143     0.001018
    0.012029      0.010720     0.004390
   -0.002798     -0.001599    -0.004524
    0.003950      0.002631     0.004322
    0.001725      0.006259    -0.005484
    0.014779      0.004469     0.005219
   -0.004552     -0.001560    -0.001300
    0.004293      0.009204    -0.006932
    0.008863     -0.002763     0.002281
   -0.000101      0.001505    -0.000768
    0.010352      0.010656    -0.001307
   -0.002335     -0.000513    -0.002718
    0.007191      0.008870     0.000679
    0.007020     -0.000704    -0.002530
    0.010269     -0.003832     0.007111
   -0.003447     -0.003912    -0.000137
   -0.003534      0.005011    -0.000299
    0.008552     -0.002020     0.004016
    0.000435      0.003330    -0.002707
    0.008246      0.000556     0.002285
   -0.003118      0.011606     0.000508
    0.010889     -0.006419     0.006814
   -0.000067     -0.005251     0.006308
    0.000449      0.008906    -0.007557
    0.005200      0.005156     0.005348
    0.002173     -0.001433     0.004262
    0.010953      0.002634     0.000880
   -0.005059      0.013220    -0.003124
    0.013038      0.004743     0.007773
    0.010817     -0.002593     0.001717
    0.000644     -0.011351    -0.000233
    0.008263      0.012347     0.003805
    0.006243     -0.005423    -0.010977
    0.010935      0.011531     0.009406
    0.002561     -0.001577     0.002734
    0.005002     -0.006096    -0.002107
   -0.001288      0.010016     0.000423
   -0.004685     -0.006356     0.007514
    0.010080      0.003639    -0.000601
    0.000221      0.012290    -0.000440
    0.008078      0.015166     0.000956
    0.001694     -0.002620     0.004141
    0.003122     -0.003116     0.005014
   -0.004433     -0.002791    -0.000912
    0.001270      0.001107     0.000560
    0.013425      0.004333    -0.001634
    0.003861      0.002614     0.002179
    0.005512      0.000167     0.003573
   -0.008381      0.002913     0.003950
    0.010749      0.004043     0.005080
    0.007274      0.004933     0.000279
   -0.004505      0.003094    -0.003619
    0.009247      0.002424     0.001404
    0.001112     -0.004512     0.005377
    0.012523     -0.002095     0.002989
    0.004508      0.011367    -0.012495
    0.008499     -0.002978     0.005193
    0.009090     -0.004294     0.001861
    0.005782     -0.003297     0.000266
    0.005655      0.005676     0.000573
   -0.004260      0.000845     0.000645
    0.003355      0.007625     0.002069
    0.002495      0.012907    -0.000486
   -0.003218     -0.013077     0.004751
   -0.004650      0.004839    -0.003105
    0.009678     -0.000510     0.008032
   -0.006001      0.005344    -0.001345
    0.008895      0.011766    -0.001858
    0.000642     -0.000597     0.002504
    0.005103      0.002096    -0.002567
    0.016864      0.000052    -0.000487
    0.000901     -0.000893    -0.005020
    0.013962      0.005501     0.005658
   -0.000984      0.012280    -0.002416
    0.009352     -0.002644     0.000612
    0.002528      0.001428     0.007030
    0.002730      0.015659    -0.003842
    0.010477     -0.003354     0.005647
   -0.003672     -0.010458     0.000714
    0.010052      0.003686     0.002021
   -0.003977      0.011922    -0.000023
    0.010666      0.000619     0.001537
    0.000459      0.002167    -0.001435
   -0.004362     -0.004647     0.002753
    0.004226     -0.003313    -0.000078
   -0.003526      0.003158    -0.003247
    0.010122     -0.001441     0.004649
   -0.002018      0.009916    -0.005397
    0.011437     -0.017323     0.003598
   -0.003804      0.010632    -0.006349
    0.021431      0.014299     0.009752
   -0.005186     -0.020341     0.003673
   -0.004631      0.012775    -0.004343
    0.019077      0.008335     0.006664
    0.012040     -0.002101    -0.005169
    0.000434      0.017193     0.008176
   -0.014361     -0.011820    -0.008957
    0.014647      0.005670    -0.002131
    0.002957      0.001763     0.004577
    0.000615     -0.008275     0.000329
   -0.005044      0.012328    -0.002984
    0.011431     -0.001866     0.001507
    0.008070      0.001021     0.002457
    0.002286     -0.008248    -0.005990
    0.000160      0.001202     0.006119
    0.004391     -0.004433    -0.001057
    0.004988     -0.003643     0.004466
    0.006142      0.004259     0.004805
   -0.001877      0.007530     0.003864
    0.001739     -0.007645    -0.000735
    0.002152      0.003018    -0.000701
    0.012439      0.011107     0.004275
    0.000468      0.003378    -0.002297
   -0.008248     -0.000859    -0.002865
    0.025663      0.004682     0.005575
   -0.012287      0.007915     0.001302
    0.007527     -0.001006    -0.007171
    0.006874      0.015421    -0.000085
    0.005080      0.000771     0.008766
    0.010994     -0.004333    -0.001216
   -0.012485     -0.000734    -0.008573
    0.007017      0.001232     0.005406
    0.005156      0.004083     0.000089
    0.010681     -0.003311     0.004436
    0.003629      0.001042    -0.002449
   -0.006563      0.014016    -0.000652
    0.011154     -0.002721    -0.004495
    0.012611     -0.004514     0.002687
   -0.007954      0.001049     0.004042
    0.003100      0.001610    -0.006331
    0.008535      0.013122     0.005853
   -0.000241      0.002856    -0.001432
    0.009850     -0.002745     0.005536
   -0.007429      0.002810    -0.002926
    0.010072      0.016829     0.000238
    0.008049     -0.005322    -0.000914
    0.001084     -0.012747     0.009197
    0.011768      0.025415    -0.001666
   -0.002903     -0.013078     0.000165
    0.006235      0.003642    -0.003803
    0.015438      0.009415     0.005145
   -0.006442     -0.018739    -0.000711
    0.001066      0.019921    -0.010064
    0.017713     -0.004455     0.015473
   -0.004449      0.011160    -0.013047
   -0.002895      0.006494     0.014310
    0.005519     -0.023230    -0.005405
    0.007001      0.020839    -0.002602
    0.005216     -0.001799     0.006795
   -0.007841     -0.003663    -0.002781
    0.008256      0.007006     0.000598
    0.011205     -0.002802     0.002018
   -0.003495      0.007354    -0.000946
    0.015561     -0.004531     0.000105
   -0.005355      0.006908     0.002522
    0.014409     -0.000218    -0.006616
    0.010006      0.015847     0.006829
   -0.009133      0.000022    -0.003702
    0.013970      0.001919    -0.002934
   -0.002017     -0.002929    -0.004071
    0.008745      0.003504     0.005618
   -0.004623      0.010229    -0.002431
   -0.002210     -0.006614     0.002010
    0.018673      0.020528     0.000888
   -0.002337      0.004409     0.000808
   -0.000589     -0.011902     0.003514
    0.011781     -0.002412     0.002473
   -0.002004      0.007490     0.002787
    0.004232      0.001419    -0.002083
    0.002483      0.001017     0.009890
    0.003195     -0.004851    -0.010046
    0.007942      0.012885     0.004966
   -0.002013     -0.006241    -0.003732
    0.019408      0.003080     0.000955
   -0.003314      0.009039     0.006101
   -0.007087     -0.003008    -0.012119
    0.016225     -0.000803     0.009117
    0.000165      0.001591    -0.000939
